sales_genre.genre,sales_genre.global_sales,sales_genre.critic_score
Action,11.01,98
Sports,4.68,98
Fighting,0.34,98
Action,10.5,98
Action,11.01,98
Sports,4.68,98
Fighting,0.34,98
Action,10.5,98
Action,16.27,97
Sports,1.09,97
Action,21.04,97
Action,13.1,97
Platform,7.51,97
Shooter,6.43,97
Shooter,2.82,97
Sports,4.41,97
Action,5.48,97
Platform,11.35,97
Action,12.61,97
Action,16.27,97
Sports,1.09,97
Action,21.04,97
Action,13.1,97
Platform,7.51,97
Shooter,6.43,97
Shooter,2.82,97
Sports,4.41,97
Action,5.48,97
Platform,11.35,97
Action,12.61,97
Shooter,1.82,96
Action,1.69,96
Action,1.59,96
Shooter,2.83,96
Action,3.62,96
Action,4.6,96
Role-Playing,8.79,96
Shooter,4.12,96
Racing,10.95,96
Shooter,2.37,96
Action,6.66,96
Shooter,0.41,96
Role-Playing,3.1,96
Fighting,7.16,96
Shooter,0.14,96
Action,6.05,96
Action,1.17,96
Action,5.48,96
Shooter,1.82,96
Action,1.69,96
Action,1.59,96
Shooter,2.83,96
Action,3.62,96
Action,4.6,96
Role-Playing,8.79,96
Shooter,4.12,96
Racing,10.95,96
Shooter,2.37,96
Action,6.66,96
Shooter,0.41,96
Role-Playing,3.1,96
Fighting,7.16,96
Shooter,0.14,96
Action,6.05,96
Action,1.17,96
Action,5.48,96
Platform,5.82,95
Racing,14.98,95
Action,20.81,95
Action,0.75,95
Shooter,2.08,95
Shooter,0.76,95
Action,16.15,95
Shooter,1.7,95
Action,6.49,95
Action,7.15,95
Sports,1.18,95
Shooter,8.49,95
Sports,4.14,95
Action,6.32,95
Action,2.7,95
Action,5.87,95
Platform,5.82,95
Racing,14.98,95
Action,20.81,95
Action,0.75,95
Shooter,2.08,95
Shooter,0.76,95
Action,16.15,95
Shooter,1.7,95
Action,6.49,95
Action,7.15,95
Sports,1.18,95
Shooter,8.49,95
Sports,4.14,95
Action,6.32,95
Action,2.7,95
Action,5.87,95
Shooter,12.12,94
Sports,1.67,94
Action,4.73,94
Role-Playing,2.19,94
Role-Playing,1.59,94
Action,1.11,94
Action,4.45,94
Role-Playing,0.39,94
Role-Playing,4.38,94
Action,0.09,94
Shooter,10.6,94
Sports,5.23,94
Shooter,6.68,94
Role-Playing,5.3,94
Fighting,4.16,94
Action,0.04,94
Role-Playing,0.25,94
Sports,0.76,94
Racing,1.31,94
Role-Playing,1.86,94
Role-Playing,3.88,94
Fighting,1.81,94
Strategy,0.16,94
Shooter,13.47,94
Action,2.99,94
Action,5.99,94
Action,6.03,94
Sports,0.51,94
Shooter,1.42,94
Sports,3.67,94
Shooter,9.31,94
Shooter,6.09,94
Role-Playing,1.45,94
Sports,3.08,94
Shooter,0.66,94
Shooter,1.69,94
Action,0.55,94
Shooter,12.12,94
Sports,1.67,94
Action,4.73,94
Role-Playing,2.19,94
Role-Playing,1.59,94
Action,1.11,94
Action,4.45,94
Role-Playing,0.39,94
Role-Playing,4.38,94
Action,0.09,94
Shooter,10.6,94
Sports,5.23,94
Shooter,6.68,94
Role-Playing,5.3,94
Fighting,4.16,94
Action,0.04,94
Role-Playing,0.25,94
Sports,0.76,94
Racing,1.31,94
Role-Playing,1.86,94
Role-Playing,3.88,94
Fighting,1.81,94
Strategy,0.16,94
Shooter,13.47,94
Action,2.99,94
Action,5.99,94
Action,6.03,94
Sports,0.51,94
Shooter,1.42,94
Sports,3.67,94
Shooter,9.31,94
Shooter,6.09,94
Role-Playing,1.45,94
Sports,3.08,94
Shooter,0.66,94
Shooter,1.69,94
Action,0.55,94
Shooter,1.93,93
Platform,1.27,93
Shooter,5.38,93
Role-Playing,0.14,93
Action,1.95,93
Strategy,0.02,93
Action,3.41,93
Action,0.97,93
Racing,2.68,93
Role-Playing,3.1,93
Strategy,0.05,93
Role-Playing,0.14,93
Fighting,1.03,93
Action,3.02,93
Fighting,12.84,93
Fighting,1.5,93
Shooter,6.75,93
Adventure,0.4,93
Sports,2.99,93
Action,0.63,93
Action,0.62,93
Role-Playing,1.12,93
Sports,1.67,93
Fighting,0.71,93
Role-Playing,0.72,93
Sports,1.66,93
Shooter,0.02,93
Fighting,2.94,93
Role-Playing,4.93,93
Racing,9.49,93
Strategy,4.84,93
Sports,2.9,93
Action,0.01,93
Platform,4.32,93
Action,1.48,93
Action,1.32,93
Sports,0.55,93
Misc,0.88,93
Sports,1.32,93
Action,3.95,93
Role-Playing,1.42,93
Role-Playing,0.09,93
Role-Playing,6.29,93
Racing,5.47,93
Action,4.07,93
Racing,0.25,93
Role-Playing,3.04,93
Shooter,1.93,93
Platform,1.27,93
Shooter,5.38,93
Role-Playing,0.14,93
Action,1.95,93
Strategy,0.02,93
Action,3.41,93
Action,0.97,93
Racing,2.68,93
Role-Playing,3.1,93
Strategy,0.05,93
Role-Playing,0.14,93
Fighting,1.03,93
Action,3.02,93
Fighting,12.84,93
Fighting,1.5,93
Shooter,6.75,93
Adventure,0.4,93
Sports,2.99,93
Action,0.63,93
Action,0.62,93
Role-Playing,1.12,93
Sports,1.67,93
Fighting,0.71,93
Role-Playing,0.72,93
Sports,1.66,93
Shooter,0.02,93
Fighting,2.94,93
Role-Playing,4.93,93
Racing,9.49,93
Strategy,4.84,93
Sports,2.9,93
Action,0.01,93
Platform,4.32,93
Action,1.48,93
Action,1.32,93
Sports,0.55,93
Misc,0.88,93
Sports,1.32,93
Action,3.95,93
Role-Playing,1.42,93
Role-Playing,0.09,93
Role-Playing,6.29,93
Racing,5.47,93
Action,4.07,93
Racing,0.25,93
Role-Playing,3.04,93
Role-Playing,0.91,92
Action,2.48,92
Misc,5.12,92
Shooter,1.15,92
Strategy,0.09,92
Misc,1.02,92
Role-Playing,0.28,92
Action,0.32,92
Action,2.22,92
Sports,1.2,92
Role-Playing,0.87,92
Simulation,0.05,92
Fighting,2.06,92
Strategy,0.1,92
Shooter,2.67,92
Sports,0.43,92
Role-Playing,2.01,92
Adventure,0.44,92
Simulation,0.04,92
Role-Playing,8.05,92
Misc,1.62,92
Action,3.48,92
Racing,1.05,92
Role-Playing,9.72,92
Misc,1.92,92
Racing,5.49,92
Action,4.8,92
Fighting,1.0,92
Role-Playing,3.97,92
Shooter,1.33,92
Sports,1.63,92
Role-Playing,1.34,92
Role-Playing,5.95,92
Sports,0.71,92
Action,6.74,92
Strategy,0.13,92
Fighting,7.07,92
Platform,0.55,92
Strategy,0.7,92
Sports,0.22,92
Action,1.68,92
Role-Playing,6.41,92
Adventure,0.21,92
Sports,1.73,92
Misc,2.2,92
Sports,1.09,92
Sports,5.02,92
Sports,0.38,92
Action,0.94,92
Platform,6.31,92
Platform,0.66,92
Sports,0.39,92
Misc,2.2,92
Misc,2.47,92
Role-Playing,0.91,92
Action,2.48,92
Misc,5.12,92
Shooter,1.15,92
Strategy,0.09,92
Misc,1.02,92
Role-Playing,0.28,92
Action,0.32,92
Action,2.22,92
Sports,1.2,92
Role-Playing,0.87,92
Simulation,0.05,92
Fighting,2.06,92
Strategy,0.1,92
Shooter,2.67,92
Sports,0.43,92
Role-Playing,2.01,92
Adventure,0.44,92
Simulation,0.04,92
Role-Playing,8.05,92
Misc,1.62,92
Action,3.48,92
Racing,1.05,92
Role-Playing,9.72,92
Misc,1.92,92
Racing,5.49,92
Action,4.8,92
Fighting,1.0,92
Role-Playing,3.97,92
Shooter,1.33,92
Sports,1.63,92
Role-Playing,1.34,92
Role-Playing,5.95,92
Sports,0.71,92
Action,6.74,92
Strategy,0.13,92
Fighting,7.07,92
Platform,0.55,92
Strategy,0.7,92
Sports,0.22,92
Action,1.68,92
Role-Playing,6.41,92
Adventure,0.21,92
Sports,1.73,92
Misc,2.2,92
Sports,1.09,92
Sports,5.02,92
Sports,0.38,92
Action,0.94,92
Platform,6.31,92
Platform,0.66,92
Sports,0.39,92
Misc,2.2,92
Misc,2.47,92
Platform,7.13,91
Shooter,2.23,91
Action,4.63,91
Shooter,6.21,91
Misc,1.49,91
Role-Playing,1.27,91
Action,1.04,91
Shooter,0.61,91
Role-Playing,4.09,91
Racing,4.57,91
Platform,0.58,91
Role-Playing,0.98,91
Racing,23.21,91
Action,0.76,91
Action,5.55,91
Role-Playing,0.03,91
Sports,0.58,91
Sports,4.53,91
Action,3.1,91
Role-Playing,1.31,91
Platform,0.34,91
Role-Playing,0.17,91
Action,5.05,91
Action,2.6,91
Role-Playing,0.74,91
Role-Playing,1.32,91
Platform,3.39,91
Role-Playing,0.03,91
Adventure,0.02,91
Shooter,0.08,91
Role-Playing,2.91,91
Shooter,1.06,91
Misc,0.63,91
Sports,0.36,91
Shooter,9.86,91
Fighting,0.13,91
Racing,1.08,91
Sports,0.72,91
Sports,3.85,91
Shooter,0.71,91
Sports,0.01,91
Misc,2.38,91
Role-Playing,0.51,91
Role-Playing,1.76,91
Racing,1.41,91
Shooter,3.0,91
Platform,0.89,91
Shooter,3.01,91
Sports,3.62,91
Simulation,0.01,91
Platform,3.71,91
Platform,0.33,91
Misc,0.57,91
Action,0.08,91
Sports,1.5,91
Action,1.14,91
Action,0.53,91
Sports,0.21,91
Sports,1.44,91
Shooter,0.53,91
Sports,1.72,91
Action,3.18,91
Platform,0.28,91
Action,4.23,91
Action,4.23,91
Simulation,0.42,91
Action,0.32,91
Sports,0.82,91
Action,1.23,91
Sports,0.56,91
Platform,7.13,91
Shooter,2.23,91
Action,4.63,91
Shooter,6.21,91
Misc,1.49,91
Role-Playing,1.27,91
Action,1.04,91
Shooter,0.61,91
Role-Playing,4.09,91
Racing,4.57,91
Platform,0.58,91
Role-Playing,0.98,91
Racing,23.21,91
Action,0.76,91
Action,5.55,91
Role-Playing,0.03,91
Sports,0.58,91
Sports,4.53,91
Action,3.1,91
Role-Playing,1.31,91
Platform,0.34,91
Role-Playing,0.17,91
Action,5.05,91
Action,2.6,91
Role-Playing,0.74,91
Role-Playing,1.32,91
Platform,3.39,91
Role-Playing,0.03,91
Adventure,0.02,91
Shooter,0.08,91
Role-Playing,2.91,91
Shooter,1.06,91
Misc,0.63,91
Sports,0.36,91
Shooter,9.86,91
Fighting,0.13,91
Racing,1.08,91
Sports,0.72,91
Sports,3.85,91
